covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95
age_years,-0.037819249105298346,0.9628869678438964,0.0004787707848132039,-0.0387576226003822,-0.03688087561021449,0.9619838440345029,0.9637909395184803,0.0,-78.99239115029505,0.0,inf,0.9628869678438964,0.9619838440345029,0.9637909395184803
diameter_mm,-0.00037207701081192087,0.9996279922012548,9.290953586890037e-05,-0.0005541763549352979,-0.0001899776666885438,0.9994459771724192,0.9998100403779256,0.0,-4.0047235984144685,6.209003722910654e-05,13.975278677701878,0.9996279922012548,0.9994459771724191,0.9998100403779256
log_diameter_mm,-0.1654559651549991,0.8475071822306545,0.026069660714912596,-0.2165515612454065,-0.11436036906459171,0.8052910120446994,0.8919364716474382,0.0,-6.346686555086371,2.2000172600991727e-10,32.08176610650469,0.8475071822306545,0.8052910120446994,0.8919364716474382
road_distance_m,-6.139895456934243e-09,0.9999999938601045,3.2607418757375075e-08,-7.004926185020519e-08,5.7769470936336706e-08,0.9999999299507406,1.0000000577694725,0.0,-0.18829750071969542,0.8506434444506604,0.23337355606175522,0.9999999938601045,0.9999999299507406,1.0000000577694725
log1p_road_distance_m,-0.0004843641169007915,0.9995157531684611,0.0025326157484693323,-0.005448199770579635,0.004479471536778052,0.9945666147534179,1.0044895193667898,0.0,-0.1912505350223509,0.8483293130156854,0.23730368148039435,0.9995157531684611,0.9945666147534179,1.0044895193667898
road_distance_missing,-0.006139917983896996,0.9938788927939595,0.03260730911851449,-0.0700490694889499,0.057769233521155906,0.9323480689402028,1.059470477226569,0.0,-0.18829882470770148,0.8506424066238235,0.23337531622173066,0.9938788927939595,0.9323480689402028,1.059470477226569
road_uplift_lof,-0.007211774528485781,0.9928141679162902,0.021883072046943477,-0.05010180761159019,0.03567825855461863,0.9511325870344105,1.0363223649907973,0.0,-0.3295595112521273,0.7417328201935833,0.43102848809055305,0.9928141679162902,0.9511325870344105,1.0363223649907973
road_uplift_missing,-0.006139917983896996,0.9938788927939595,0.0326073091185145,-0.07004906948894991,0.05776923352115592,0.9323480689402028,1.059470477226569,0.0,-0.18829882470770143,0.8506424066238236,0.23337531622173047,0.9938788927939595,0.9323480689402028,1.059470477226569
mat_AC,0.6238778829812569,1.8661507426061454,0.07175792946214433,0.48323492563028836,0.7645208403322254,1.6213107477247681,2.147964909883307,0.0,8.694201291167156,3.492779989748596e-18,57.99032993775483,1.8661507426061454,1.6213107477247681,2.1479649098833065
mat_BDI,-0.30218090358214933,0.7392043280822724,0.31258948562435696,-0.9148450373517899,0.31048323018749124,0.4005786960169858,1.3640841215190178,0.0,-0.9667020724596099,0.3336929907847128,1.5834067118323307,0.7392043280822724,0.40057869601698587,1.3640841215190178
mat_CI,1.1873423688945124,3.278356956175754,0.027043168116340204,1.1343387333586237,1.240346004430401,3.109116907692744,3.4568093292065045,0.0,43.90544642500996,0.0,inf,3.278356956175754,3.109116907692744,3.4568093292065045
mat_CIPP,-0.18088055748020784,0.8345350317101153,1.0999889431819942,-2.3368192695091925,1.9750581545487766,0.09663451827915753,7.207038763721096,0.0,-0.1644385233154848,0.8693859390890395,0.20193133234078606,0.8345350317101153,0.09663451827915753,7.207038763721096
mat_CU,-0.6118390468518079,0.5423525396379751,0.10514548456485504,-0.8179204097359359,-0.40575768396767986,0.44134852491365006,0.6664716446244183,0.0,-5.818975958729051,5.920924877158653e-09,27.33153030457266,0.5423525396379751,0.44134852491365006,0.6664716446244183
mat_DI,0.6385561778660742,1.8937446740070594,0.054156648433246614,0.5324110974135133,0.7447012583186351,1.703033542163552,2.1058122471117446,0.0,11.790910189967855,4.3481619382397157e-32,104.18129336485632,1.8937446740070594,1.703033542163552,2.1058122471117446
mat_ECI,0.7781462535761422,2.177432114951559,0.10043551179937382,0.5812962676805219,0.9749962394717625,1.788355115841634,2.6511572412121933,0.0,7.747720299673862,9.355693229039282e-15,46.603076866472556,2.177432114951559,1.788355115841634,2.6511572412121933
mat_FPVC,-0.11840115669368392,0.8883396177423579,0.6699225654878531,-1.431425257480552,1.194622944093184,0.23896808835788283,3.3023123793365983,0.0,-0.17673857068460064,0.8597137427354129,0.2180717265648557,0.8883396177423579,0.23896808835788286,3.302312379336598
mat_OTH,-0.38435506856996676,0.6808896217490337,1.015952837342639,-2.375586039752819,1.6068759026128854,0.09295999499184678,4.987206346624738,0.0,-0.37831979442598834,0.7051930424475528,0.5039098540295069,0.6808896217490337,0.09295999499184678,4.987206346624738
mat_PCI,0.725919299634948,2.0666300792446926,0.11422523709782292,0.5020419487976665,0.9497966504722294,1.6520913146741767,2.585183909934928,0.0,6.355156864443782,2.0821403540656804e-10,32.16121362697517,2.0666300792446926,1.6520913146741767,2.585183909934928
mat_PDI,0.5593674148637139,1.749565401098076,0.031849842930933694,0.4969428698058262,0.6217919599216015,1.6436886117880734,1.8622621527988865,0.0,17.562642807272262,4.760623323224741e-69,226.96188806477653,1.749565401098076,1.6436886117880736,1.8622621527988865
mat_PE,-0.2578843078695289,0.7726846204659875,0.12452031219848216,-0.5019396351222375,-0.01382898061682028,0.6053553517451247,0.9862662004779666,0.0,-2.0710220149341416,0.038356738772626076,4.704376127306325,0.7726846204659875,0.6053553517451247,0.9862662004779666
