covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95
mat_PEG,-0.5816776671394968,0.5589598309696524,2.5144633625993897,-5.509935298279779,4.346579964000786,0.004046369181799408,77.21393639585872,0.0,-0.2313327272099017,0.8170563234919352,0.2914925614102797,0.5589598309696524,0.004046369181799408,77.21393639585874
mat_PRIM,-0.19969835588588414,0.8189777556422554,1.0913359213752611,-2.338677456816232,1.939280745044464,0.09645511997331647,6.9537476540631165,0.0,-0.18298523119648774,0.8548096067622778,0.22632497309645133,0.8189777556422554,0.09645511997331649,6.9537476540631165
mat_PVC,-0.716349677058412,0.48853230578855983,0.023357254325859243,-0.7621290543148385,-0.6705702998019856,0.46667179896984895,0.5114168336846656,0.0,-30.66925876922649,1.4633084460886954e-206,683.7679536442103,0.48853230578855983,0.466671798969849,0.5114168336846655
mat_PVCG,-0.5069324209962902,0.6023404746768483,0.07866405333216327,-0.6611111324052683,-0.35275370958731217,0.5162773631633636,0.7027502527146966,0.0,-6.444270280044436,1.1615792368929361e-10,33.00319337821943,0.6023404746768483,0.5162773631633635,0.7027502527146965
mat_ST,-0.18936866887180812,0.8274813838253204,0.054875265111282524,-0.2969222121320092,-0.081815125611607,0.743101814419605,0.9214422940310915,0.0,-3.450893011410223,0.0005587350134503191,10.805548149111864,0.8274813838253204,0.7431018144196051,0.9214422940310916
mat_TUDI,0.3429911771289078,1.409156329066964,0.1354577593101569,0.07749884745450508,0.6084835068033105,1.0805809870390937,1.8376425122845896,0.0,2.532089552312487,0.011338502905794887,6.462626025065,1.409156329066964,1.0805809870390937,1.8376425122845899
mat_TWD,1.1240353045521505,3.077246810567065,0.3055488083914395,0.5251706445857992,1.722899964518502,1.6907473406432052,5.600746903758397,0.0,3.6787422293336047,0.00023438701411093867,12.058819738102963,3.077246810567065,1.690747340643205,5.600746903758397
mat_UNK,-0.5799995113263854,0.5598986401730275,0.264142346850498,-1.0977089979452483,-0.06229002470752243,0.3336345662709306,0.939610337056731,0.0,-2.195783895471556,0.02810741489275386,5.152905418123544,0.5598986401730275,0.3336345662709306,0.9396103370567309
mat_YDI,-0.03919705089736735,0.9615612139767955,0.03203718401891092,-0.10198877774051493,0.023594675945780234,0.9030396857576919,1.0238752325140026,0.0,-1.223486148914652,0.22114613258040233,2.1769280823856443,0.9615612139767955,0.9030396857576919,1.0238752325140026
mat_YST,-0.49684991723939065,0.6084442939582797,0.21815212492147054,-0.9244202252363557,-0.0692796092424256,0.3967613846424392,0.9330657497932093,0.0,-2.2775387469557975,0.022754073551240355,5.457731342657406,0.6084442939582797,0.39676138464243915,0.9330657497932093
mat_YUDI,-0.231313567113712,0.7934906144597129,0.11602590327793322,-0.4587201588121889,-0.003906975415235103,0.6320921055575186,0.9961006468832705,0.0,-1.9936372876978512,0.04619170734442209,4.436222317504031,0.7934906144597129,0.6320921055575186,0.9961006468832705
road_collector,0.315088828822459,1.3703810348842689,0.08583847923598986,0.1468485010322296,0.4833291566126884,1.1581784868927059,1.6214635326277247,0.0,3.6707177436847034,0.00024187032113615333,12.013478626257085,1.3703810348842689,1.158178486892706,1.6214635326277247
road_expressway_freeway,-0.051379034815755224,0.9499185500850308,0.06746730942740775,-0.18361253142729408,0.08085446179578362,0.8322582152632794,1.0842130906574423,0.0,-0.7615397034772389,0.4463347737486746,1.1638018841738325,0.9499185500850308,0.8322582152632793,1.0842130906574423
road_major_arterial,-0.012937277033986632,0.98714604980666,0.035104330942294135,-0.08174050138225815,0.05586594731428489,0.9215110585178895,1.0574559194288558,0.0,-0.3685379178783789,0.7124721772026119,0.48909441840059464,0.98714604980666,0.9215110585178895,1.0574559194288558
road_minor_arterial,0.012403828762613566,1.0124810753004707,0.06004872332493106,-0.10528950627186161,0.13009716379708874,0.9000639107164717,1.1389390415904797,0.0,0.20656273898605498,0.8363513625954361,0.257818929400136,1.0124810753004707,0.9000639107164717,1.1389390415904797
road_unknown,-0.006139917983896996,0.9938788927939595,0.0326073091185145,-0.07004906948894991,0.05776923352115592,0.9323480689402028,1.059470477226569,0.0,-0.18829882470770143,0.8506424066238236,0.23337531622173047,0.9938788927939595,0.9323480689402028,1.059470477226569
