segment_id,material,risk_method,risk_score,risk_band
9b4b5978-8d4f-46b0-8fd5-c04a1cbbaaee,CON,PCCP_RULE,1.0,Low
2919aa5c-834b-4bd2-b695-5b038b5dd6d3,CON,PCCP_RULE,1.0,Low
adec0c5f-190f-40df-b118-424ae2e9429c,CON,PCCP_RULE,2.0,Medium
d7c5dab6-5c3c-4e63-b581-5071dc245473,CON,PCCP_RULE,2.0,Medium
1c00822e-40a5-482d-861f-759680f5541f,CON,PCCP_RULE,2.0,Medium
c455c4bc-5517-4106-b2f6-c75931ede4ef,CON,PCCP_RULE,1.0,Low
6f132a0f-017b-4509-8acf-4dc1e910b623,CON,PCCP_RULE,2.0,Medium
e89c902e-ce17-4f51-9a0b-bfe871cc615c,CON,PCCP_RULE,2.0,Medium
ab909020-ce7c-42bb-a69c-f5df7eab992c,CON,PCCP_RULE,2.0,Medium
ca88f710-5667-4861-bf91-177dd1614dec,CON,PCCP_RULE,1.0,Low
e1c21335-0260-4520-b863-5601ffc2479d,CON,PCCP_RULE,1.0,Low
8a4e36a3-5742-4a86-93c7-fa3622d82c28,CON,PCCP_RULE,1.0,Low
e6ff5777-9077-45e3-885f-8965af758d56,CON,PCCP_RULE,1.0,Low
1a22ff1d-b911-471f-bd37-e33374261e79,CON,PCCP_RULE,2.0,Medium
1cd7ec55-d35d-424f-b57d-36c2685ba67e,CON,PCCP_RULE,1.0,Low
aba1c84d-386f-473f-9c94-762e99256ce8,CON,PCCP_RULE,1.0,Low
d75c045d-38cb-4f78-880a-18d1f8698f34,CON,PCCP_RULE,1.0,Low
dabecdc5-6c50-4a95-901a-b4416c192628,CON,PCCP_RULE,1.0,Low
21b39e71-c3a9-4a59-9a05-0451fc5b8748,CON,PCCP_RULE,1.0,Low
ac0f5d89-0963-4f93-9abe-858f8a73e0f3,CON,PCCP_RULE,1.0,Low
8349836c-52fe-4163-b20c-ee3c14436bab,CON,PCCP_RULE,1.0,Low
9ff23098-91e8-4668-8fd1-7be4caa7c58d,CON,PCCP_RULE,1.0,Low
36ae8e96-056a-4b2d-994e-330b2c92284f,CON,PCCP_RULE,1.0,Low
eb828e65-4cd0-44bb-aeb7-8188df9535f9,CON,PCCP_RULE,1.0,Low
d288d438-97fc-478d-8f9f-66b0f1547688,CON,PCCP_RULE,1.0,Low
076e3a54-170d-4254-9bb9-d89e09dc055d,CON,PCCP_RULE,1.0,Low
1bc1c9a1-f8b2-4d05-a91c-7b6386639047,CON,PCCP_RULE,1.0,Low
d7bd242f-374d-4da3-b198-bce5c280cb78,CON,PCCP_RULE,1.0,Low
b6c746a4-7dfd-4cef-9222-22c9e7534461,CON,PCCP_RULE,1.0,Low
6cec60df-7d89-47a7-9abe-1da482e56bdb,CON,PCCP_RULE,2.0,Medium
a746fe94-08d2-4dff-8bbd-775d8a8d7f36,CON,PCCP_RULE,2.0,Medium
6456744b-dfb1-42f5-bc03-cd0954d5699d,CON,PCCP_RULE,3.0,High
c41b5ab5-8305-4ff6-a9de-491f6c6e8a13,CON,PCCP_RULE,1.0,Low
b791d632-3d7e-4f35-a9fb-71e17774670e,CON,PCCP_RULE,1.0,Low
ee884327-de00-4c98-8bd8-74f62ac67da2,CON,PCCP_RULE,2.0,Medium
83c806ac-f5d9-4d19-9154-bf91c2d2739c,CON,PCCP_RULE,2.0,Medium
f44740bc-3bee-42f6-99bf-d9187b8c7651,CON,PCCP_RULE,2.0,Medium
a433946d-5906-4c56-b329-cf4c1b17df1c,CON,PCCP_RULE,1.0,Low
458951a3-d07c-4db4-b326-d4b75b1100b5,CON,PCCP_RULE,1.0,Low
ac34bb6c-6751-4dfb-ad26-1f61ef4c983d,CON,PCCP_RULE,1.0,Low
f144fb68-64d1-4ade-9652-875f551b4141,CON,PCCP_RULE,1.0,Low
776f08a7-3c4e-4ef6-829e-7df3e8c62fff,CON,PCCP_RULE,1.0,Low
0c503e7c-3c45-4d19-b683-950299c9413b,CON,PCCP_RULE,1.0,Low
ceab7331-3fe5-4d15-a3af-d5e3eb940b65,CON,PCCP_RULE,1.0,Low
e5bb72bd-5a50-4ec7-acc2-62376417199c,CON,PCCP_RULE,1.0,Low
e719ae94-a4fa-4506-b5cb-67e46c56e73f,CON,PCCP_RULE,1.0,Low
7bd088a0-9553-42cf-a26c-fd761fc80857,CON,PCCP_RULE,1.0,Low
1bfcee82-d6c2-4dc8-a0ef-b937df9065f5,CON,PCCP_RULE,1.0,Low
c185022a-4d50-4931-a0af-6c79054b487c,CON,PCCP_RULE,3.0,High
8cffee09-78ce-4782-8eef-0dc5d99b61a4,CON,PCCP_RULE,3.0,High
ee97edb8-5567-4a85-a300-cee9f1a5c04f,CON,PCCP_RULE,2.0,Medium
c79e5b8a-3827-4d99-9846-fa385e5b7b90,CON,PCCP_RULE,2.0,Medium
f465bf89-dc92-4d03-8de5-06a4a5615a39,CON,PCCP_RULE,1.0,Low
eaddaf94-289f-490c-8bea-f2155f82cf3c,CON,PCCP_RULE,1.0,Low
c54fb9bb-74cd-4690-82c6-01561b284b5d,CON,PCCP_RULE,2.0,Medium
ccd3af32-1b0d-4aab-a978-e6ea327a28a2,CON,PCCP_RULE,1.0,Low
5e1325c3-060b-4670-9a65-e17e286f6d38,CON,PCCP_RULE,1.0,Low
55bbb7b2-6055-4a57-9536-de5b379face4,CON,PCCP_RULE,1.0,Low
