globalid,functional_class,uplift_lof,min_dist_m,buffer_m,source_ctp_class
80e6bf5a-2f1a-43ef-ad56-9a70010c1e1c,expressway_freeway,2.0,0.000,2.0,Skeletal Road
a2e22d66-6cf8-400a-9b11-89903ba801b0,major_arterial,1.5,1.082,2.0,Arterial Street
20ee1675-7938-4bad-8191-5b2182e28528,major_arterial,1.5,0.000,2.0,Arterial Street
17f5455e-52ee-4afa-b2ae-a82a8aac4b1d,minor_arterial,1.0,1.370,2.0,Industrial Arterial
6229ea74-c28b-4213-a13c-e2063e0b02e5,major_arterial,1.5,0.000,2.0,Arterial Street
bf1d0ab6-d223-4b90-ac12-0091d8765655,minor_arterial,1.0,0.000,2.0,Industrial Arterial
228e66c3-4613-4b94-8c3a-16ae33219631,minor_arterial,1.0,0.105,2.0,Industrial Arterial
3bdfcfae-7250-4322-b7c2-c3c9413a6ca3,minor_arterial,1.0,0.000,2.0,Industrial Arterial
abec4410-1d70-427e-a8ee-d4e165b66f78,major_arterial,1.5,0.323,2.0,Arterial Street
2476538c-ca26-43d1-a53d-40c3fd8cde83,major_arterial,1.5,0.000,2.0,Arterial Street
f024b4d2-bb96-4b51-baf4-c4dd8712fa71,major_arterial,1.5,0.000,2.0,Arterial Street
e9a1bffe-075c-4ab2-a40e-62cd8d447fc9,major_arterial,1.5,0.000,2.0,Arterial Street
673b8ae1-d026-4a9f-89e2-91ca84beea92,major_arterial,1.5,0.000,2.0,Arterial Street
0ebb3318-cb86-4ae3-a1c6-e7f2209d6597,minor_arterial,1.0,1.606,2.0,Urban Boulevard
ec6fe077-89de-466c-8f5e-fba25c27f1ab,minor_arterial,1.0,0.000,2.0,Industrial Arterial
35884221-54be-43f3-a16b-147762b6e5f8,minor_arterial,1.0,0.000,2.0,Industrial Arterial
2347e2a5-59fa-4e48-9836-111d2fbd7486,minor_arterial,1.0,1.549,2.0,Industrial Arterial
17fe696e-6354-48e9-9c71-9cd1e0ac5261,minor_arterial,1.0,0.000,2.0,Industrial Arterial
