globalid,functional_class,uplift_lof,min_dist_m,buffer_m,source_ctp_class
4ad6b92e-cb19-4cc2-adda-19c5ffc227fc,expressway_freeway,2.0,0.000,2.0,Skeletal Road
0222c9e1-f082-434f-9fdb-60f576c4eb77,major_arterial,1.5,0.790,2.0,Arterial Street
15ccc072-ca71-4b22-bc40-99bccf380e35,major_arterial,1.5,0.789,2.0,Arterial Street
36238a06-0526-4962-b53b-5e7111167caa,minor_arterial,1.0,1.897,2.0,Urban Boulevard
5cba9288-8484-4163-b961-c607f6644258,minor_arterial,1.0,1.897,2.0,Urban Boulevard
e2003c2a-b4cd-47b7-a291-428bffab5c39,minor_arterial,1.0,1.751,2.0,Urban Boulevard
e06acb8b-85d2-4008-a2f7-c82fc58303ea,minor_arterial,1.0,1.654,2.0,Urban Boulevard
4ec713f3-38ef-4ba1-acf2-5bd3e39f5406,minor_arterial,1.0,1.518,2.0,Urban Boulevard
92b70cc1-d8fa-4c55-8710-3e6d942c93d3,minor_arterial,1.0,1.518,2.0,Urban Boulevard
868f3813-b7ab-4b23-a431-e54dd4931eed,minor_arterial,1.0,1.509,2.0,Urban Boulevard
82969a05-69ef-471c-b74c-1ce0f7d2a535,minor_arterial,1.0,1.962,2.0,Urban Boulevard
c4205f8c-3901-4e3a-b068-2b5086e3c4f3,minor_arterial,1.0,0.184,2.0,Urban Boulevard
98ed5e45-6507-4642-86b0-79a468775233,collector,0.5,0.012,2.0,Neighbourhood Boulevard
a6d6bc72-64ad-41f4-a699-170b0019b28c,minor_arterial,1.0,0.907,2.0,Urban Boulevard
4e97fd1e-4324-4f17-8f1a-7e523a91cafa,minor_arterial,1.0,1.038,2.0,Urban Boulevard
1092f947-2386-4f60-a35c-1dfbe5199b28,major_arterial,1.5,1.617,2.0,Arterial Street
73613c81-6536-4840-92de-db59b5e95e93,major_arterial,1.5,0.151,2.0,Arterial Street
0ca67a31-3437-47c4-8379-6dc08353a86b,major_arterial,1.5,0.000,2.0,Arterial Street
8e38207f-1d3a-46e1-b8fd-bdb20fd9f569,major_arterial,1.5,0.000,2.0,Arterial Street
92ec5092-23b8-41f2-9dd3-716aec9f1efb,major_arterial,1.5,0.000,2.0,Arterial Street
bce6eb8d-67f3-41c9-a2df-0e6f0599c117,major_arterial,1.5,0.000,2.0,Arterial Street
5b09b993-3ad1-4cd0-9b07-53b131c632da,minor_arterial,1.0,1.038,2.0,Industrial Arterial
8a9e72e6-68af-4e56-b36c-50491c906a21,expressway_freeway,2.0,1.749,2.0,Skeletal Road
973c0a85-556a-43bf-b831-75933fc8f6d3,major_arterial,1.5,0.000,2.0,Arterial Street
